authors_original,authors_new
"Allison Smither, Gilberto Sabino-Santos, Patricia Snarski, Lilia Melnik, Antoinette Bell, Kaylynn Genemaras, Arnaud Drouin, Dahlene Fusco, Robert Garry with SEARCH Alliance San Diego","Allison Smither, Gilberto Sabino-Santos, Patricia Snarski, Lilia Melnik, Antoinette Bell, Kaylynn Genemaras, Arnaud Drouin, Dahlene Fusco, Robert Garry with SEARCH Alliance San Diego"
"Chip Schooley, Natasha Martin, Cheryl Anderson, Angela Scioscia, Smruthi Karthikeyan, Greg Humphrey, Sawyer Farmer, Abigail Schnapper, Helena Tubb, Tommy Valles  + SEARCH","Chip Schooley, Natasha Martin, Cheryl Anderson, Angela Scioscia, Smruthi Karthikeyan, Greg Humphrey, Sawyer Farmer, Abigail Schnapper, Helena Tubb, Tommy Valles  with SEARCH Alliance San Diego"
"David Pride, Sharon Reed, Chip Schooley, Angela Scioscia, Natasha Martin Cheryl Anderson, Sawyer Farmer, Abigail Schnapper, Helena Tubb, Tommy Valles + SEARCH","David Pride, Sharon Reed, Chip Schooley, Angela Scioscia, Natasha Martin Cheryl Anderson, Sawyer Farmer, Abigail Schnapper, Helena Tubb, Tommy Valles with SEARCH Alliance San Diego"
"Fred Wu, Christine Mitchell + SEARCH","Fred Wu, Christine Mitchell with SEARCH Alliance San Diego"
Helix,Helix
"Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Lina Mohammad, Zein Naber, Amid Abdelnour with SEARCH Alliance San Diego","Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Lina Mohammad, Zein Naber, Amid Abdelnour with SEARCH Alliance San Diego"
"J. Joelle Donofrio-Odmann, Brent Brainard+ SEARCH","J. Joelle Donofrio-Odmann, Brent Brainard with SEARCH Alliance San Diego"
"Nicole L Washington, Simon White, Geraint Levan, Kelly Schiabor Barrett, Elizabeth Cirulli, Alexandre Bolze, Charlotte Rivera-Garcia, Ryan Cho, Jason Nguyen, Sherry Wang, Jimmy Ramirez, Celena Andrade, Alice Summerfield, Tyler Cassens, Efren Sandoval, Francisco Tanudjaja, Magnus Isaksson, William Lee, David Becker, Marc Laurent, James Lu  + SEARCH","Nicole L Washington, Simon White, Geraint Levan, Kelly Schiabor Barrett, Elizabeth Cirulli, Alexandre Bolze, Charlotte Rivera-Garcia, Ryan Cho, Jason Nguyen, Sherry Wang, Jimmy Ramirez, Celena Andrade, Alice Summerfield, Tyler Cassens, Efren Sandoval, Francisco Tanudjaja, Magnus Isaksson, William Lee, David Becker, Marc Laurent, James Lu  with SEARCH Alliance San Diego"
"Rebecca Fielding-Miller, Laura Kohn, Patricia Gonzalez-Zuniga, Fitri Carrissa Wijaya, Vinton Omaleki, Marlene Flores, Araz Majnoonian, Megan Nguyen, Ashkan Hassani, Smruthi Karthikeyan, Rodolfo Salido, Victor Cantu, Greg Humphrey, Sawyer Farmer, Abigail Schnapper, Helena Tubb, Tommy Valles + SEARCH","Rebecca Fielding-Miller, Laura Kohn, Patricia Gonzalez-Zuniga, Fitri Carrissa Wijaya, Vinton Omaleki, Marlene Flores, Araz Majnoonian, Megan Nguyen, Ashkan Hassani, Smruthi Karthikeyan, Rodolfo Salido, Victor Cantu, Greg Humphrey, Sawyer Farmer, Abigail Schnapper, Helena Tubb, Tommy Valles with SEARCH Alliance San Diego"
"Robert Tukey, Louise Laurent, Fatima Munos, Marva Seifert, Linda Salgin, Nicole Stadnick, Borsika Rabin, Paul Watson + SEARCH","Robert Tukey, Louise Laurent, Fatima Munos, Marva Seifert, Linda Salgin, Nicole Stadnick, Borsika Rabin, Paul Watson with SEARCH Alliance San Diego"
